DOI,PDF_Found,Source,Download_Status,File_Path,Error_Message
10.2165/00002018-200225070-00005,False,,Failed,,No PDF URL found
10.1016/S1525-8610(04)70488-0,False,,Failed,,No PDF URL found
10.1034/j.1601-5215.2002.140303.x,False,,Failed,,No PDF URL found
10.1017/S0790966700007357,False,,Failed,,No PDF URL found
10.1016/S1525-8610(04)70461-2,False,,Failed,,No PDF URL found
10.1176/appi.neuropsych.13.4.531,False,,Failed,,No PDF URL found
10.1046/j.1440-1819.2001.00920_55_6.x,False,,Failed,,No PDF URL found
10.1007/s100720100012,False,,Failed,,No PDF URL found
10.1007/s001150170024,False,,Failed,,No PDF URL found
10.1080/08039480152693327,False,,Failed,,No PDF URL found
10.1080/08039480152693363,False,,Failed,,No PDF URL found
10.1007/s001050170019,False,,Failed,,No PDF URL found
10.1348/000711201161073,False,,Failed,,No PDF URL found
10.1046/j.1528-1157.2001.32101.x,False,,Failed,,No PDF URL found
10.1016/S0041-1345(01)02510-6,False,,Failed,,No PDF URL found
10.1300/J018v23n03_03,False,,Failed,,No PDF URL found
10.1007/s10072-001-8177-4,False,,Failed,,No PDF URL found
10.1176/appi.psy.42.6.477,True,Unpaywall,Success,pdfs/10.1176_appi.psy.42.6.477.pdf,
10.1159/000049321,False,,Failed,,No PDF URL found
10.2190/HQXL-FV6T-03UF-XANH,False,,Failed,,No PDF URL found
10.1159/000049328,False,,Failed,,No PDF URL found
10.1076/noph.25.4.177.8057,False,,Failed,,No PDF URL found
10.1521/psyc.64.3.248.18467,False,,Failed,,No PDF URL found
10.1080/136515001300375361,False,,Failed,,No PDF URL found
10.1176/appi.psy.42.5.432,True,Unpaywall,Success,pdfs/10.1176_appi.psy.42.5.432.pdf,
10.1046/j.1523-5394.2001.96006.x,False,,Failed,,No PDF URL found
10.3143/geriatrics.38.822,True,Unpaywall,Success,pdfs/10.3143_geriatrics.38.822.pdf,
10.1002/mds.1239,False,,Failed,,No PDF URL found
10.1002/ch.223,False,,Failed,,No PDF URL found
10.1177/070674370104600617,False,,Failed,,No PDF URL found
10.1007/s001150170049,False,,Failed,,No PDF URL found
10.1007/s001150170054,False,,Failed,,No PDF URL found
10.1176/appi.ps.52.9.1256,False,,Failed,,No PDF URL found
10.1159/000049310,False,,Failed,,No PDF URL found
10.1046/j.1440-1614.2001.0911f.x,False,,Failed,,No PDF URL found
10.1046/j.1440-1614.2001.0911h.x,False,,Failed,,No PDF URL found
10.1007/s004150170097,False,,Failed,,No PDF URL found
10.1038/s41586-020-2649-2,True,Unpaywall,Success,pdfs/10.1038_s41586-020-2649-2.pdf,
